SQUARE_FT,LONGITUDE,LATITUDE,TARGET
1300.236407,12.96991,77.59796,55
1275,12.274538,76.644605,51
933.1597222,12.778033,77.632191,43
929.9211427,28.6423,77.3445,62.5
999.009247,22.5922,88.484911,60.5
1250,10.03328,76.282571,42
1495.053957,26.916347,75.7956,66.5
1181.012946,30.74,76.65,52
1040,13.054202,77.674002,41.6
879.1208791,12.95161,80.14097,36
1350.308642,26.724219,88.326357,35
1333.010179,13.04034,77.591347,110
927.1779023,12.96991,77.59796,48
1122.171946,28.587711,77.403123,62
649.9837504,13.0352,77.5772,20
1394.117647,28.429614,77.481711,71.1
1800.08471,20.275267,85.862407,85
2124.896706,12.8855,77.5638,180
1100,21.15389,79.08306,22
2178.649237,13.092356,77.613468,120
881.1435285,13.05,80.11,45
944.8818898,18.452663,73.93104,42
1310.147689,28.5041,77.381557,55
630.00063,19.05444,72.84056,300
1219.80971,21.105779,79.078497,50
780.141844,22.54111,88.33778,27.5
1600,28.63601,77.433724,46
1180.412371,30.712867,76.648557,22.9
1000,24.48,86.7,39
1000,28.2102,76.8606,12.5
1400.107701,28.40473,77.367514,52
943.1266076,28.5041,77.381557,33
1150.146382,26.586306,74.873234,55
864.0674394,19.18,72.96333,82
857.7861968,19.1759,72.9522,240
1174.210077,12.852171,80.216826,55
1020.087884,18.5993,73.7625,65
1650.165017,22.312063,72.674296,65
1000,17.815234,83.35818,35
1300.052002,12.894088,77.548914,75
40606.19568,24.69028,78.41889,9110
1058.114928,18.539812,73.737678,65
400,18.5438,73.9438,30
1274.924779,22.803593,83.755013,250
1026.694045,19.014858,72.8662,220
1150.121065,20.36667,72.9,38
1200,28.460928,77.039391,60
475.0103263,24.69028,78.41889,46
301.9171163,24.69028,78.41889,26.3
1228.571429,12.843852,74.845271,51.6
986.0164934,13.077175,80.151453,55
1972.565158,28.431862,77.351104,71.9
420.6166888,19.048403,72.88731,130
1275.009808,25.232239,71.392013,32.5
406.024219,19.245347,73.124577,39.9
1862.562189,28.431862,77.351104,59.9
950.0146156,19.88879,75.34344,65
5200.945626,28.567633,77.383124,110
1049.969344,12.985039,77.54383,68.5
1615.008157,22.589694,88.372957,99
1150.0069,19.014858,72.8662,250
1100,26.955346,75.734793,27.5
906.2661833,24.69028,78.41889,70
1454.333915,10.77,76.38,50
1591.994542,28.506454,77.409568,70
573.8769151,28.406388,77.342588,22.1
1038.883942,19.12,72.91,280
1538.141758,13.11389,77.59833,74
5000,26.850391,75.814198,85
1602.084012,28.368269,77.37273,49.2
1200,16.51667,80.61667,45
760.07094,15.86667,74.5,60
739.8273736,23.25,77.41667,30
1260.02291,13.0915,74.7844,33
1100.151745,21.093676,79.111965,29
2293.077091,18.5438,73.9438,210
1146.480331,19.216097,72.821721,88.6
2224.059764,19.1615,72.8731,780
759.8784195,22.452032,88.298947,30
2260.251857,12.9506,77.5952,140
767.0182167,20.742166,80.104602,240
2500,28.66667,77.41667,160
2286.236854,21,77,100
1150.086256,28.577673,77.389781,60
1004.932182,18.966114,73.148278,81.5
800,22.56972,88.36972,34
993.75,26.706157,88.439748,31.8
1298.139334,23.169982,77.477889,30
996.797438,26.900926,75.775927,24.9
985.0194952,12.98556,77.66389,48
1118.75,12.91716,80.19287,53.7
889.8305085,28.506454,77.409568,42
2738.22563,12.863421,77.652405,150
1725.490196,19.049513,72.919204,440
2488.004265,30.654128,76.732427,140
1200.082764,23.207157,88.404471,58
1584.283904,26.459137,79.506922,100
900,23.2257,72.51679,18
1193.440032,18.441256,74.647361,60.4
1487.357462,26.8626,75.7633,30
989.9029895,28.5035,77.426447,50
1155.020213,19.147866,72.932609,140
949.893137,11.93,79.83,80
875,28.560719,77.386208,49
853.3611982,12.96991,77.59796,24.5
483.0917874,18.4543,73.1147,18
